other scrapethissite.com g_002 hockey_year
24 582 582
"https://www.scrapethissite.com/pages/forms/?page_num=1" 25 1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1990	1991	1991	1991	1991
"https://www.scrapethissite.com/pages/forms/?page_num=2" 25 1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1991	1992	1992	1992	1992	1992	1992	1992
"https://www.scrapethissite.com/pages/forms/?page_num=3" 25 1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1992	1993	1993	1993	1993	1993	1993	1993	1993
"https://www.scrapethissite.com/pages/forms/?page_num=4" 25 1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1993	1994	1994	1994	1994	1994	1994	1994
"https://www.scrapethissite.com/pages/forms/?page_num=5" 25 1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1994	1995	1995	1995	1995	1995	1995
"https://www.scrapethissite.com/pages/forms/?page_num=6" 25 1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1996	1996	1996	1996	1996
"https://www.scrapethissite.com/pages/forms/?page_num=7" 25 1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1996	1997	1997	1997	1997
"https://www.scrapethissite.com/pages/forms/?page_num=8" 25 1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1998	1998	1998
"https://www.scrapethissite.com/pages/forms/?page_num=9" 25 1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1999
"https://www.scrapethissite.com/pages/forms/?page_num=10" 25 1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999	1999
"https://www.scrapethissite.com/pages/forms/?page_num=11" 25 1999	1999	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
"https://www.scrapethissite.com/pages/forms/?page_num=12" 25 2000	2000	2000	2000	2000	2000	2000	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001
"https://www.scrapethissite.com/pages/forms/?page_num=13" 25 2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002
"https://www.scrapethissite.com/pages/forms/?page_num=14" 25 2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2003	2003
"https://www.scrapethissite.com/pages/forms/?page_num=15" 25 2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2005	2005	2005
"https://www.scrapethissite.com/pages/forms/?page_num=16" 25 2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005	2005
"https://www.scrapethissite.com/pages/forms/?page_num=17" 25 2005	2005	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006
"https://www.scrapethissite.com/pages/forms/?page_num=18" 25 2006	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007
"https://www.scrapethissite.com/pages/forms/?page_num=19" 25 2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008
"https://www.scrapethissite.com/pages/forms/?page_num=20" 25 2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2009	2009
"https://www.scrapethissite.com/pages/forms/?page_num=21" 25 2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2010	2010	2010
"https://www.scrapethissite.com/pages/forms/?page_num=22" 25 2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010
"https://www.scrapethissite.com/pages/forms/?page_num=23" 25 2010	2010	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011
"https://www.scrapethissite.com/pages/forms/?page_num=24" 7 2011	2011	2011	2011	2011	2011	2011
